시설종류,실내/실외,종목,주소,이름
스포츠,실외,운동장,광주 북구 매곡동 238,전라남도공무원교육원 운동장
스포츠,실외,농구장,광주 북구 삼각동 792-1,가작어린이공원 농구장
스포츠,실외,풋살장,광주광역시 북구 군왕로274번길,각화1교 하부 생활체육공간
스포츠,실외,농구장,광주광역시 북구 군왕로274번길,각화1교 하부 생활체육공간
스포츠,실외,농구장,광주 북구 두암동 588-5,꿈동산어린이공원 농구장
스포츠,실외,축구장,광주 북구 문흥동 1009-1,문화근린공원 인조잔디구장
스포츠,실외,배드민턴장,광주 북구 문흥동 1009-1,문화근린공원 배드민턴장
스포츠,실내,체육관,광주 북구 용봉동 300,광주광역시 북구 국민체육센터
스포츠,실내,체육관,광주 북구 신안동 234-15,광주광역시 북구 태봉생활체육관
스포츠,실외,축구장,광주 북구 연제동 730,북구종합운동장
스포츠,실외,야구장,광주 북구 연제동 730,북구종합운동장
스포츠,실외,게이트볼장,광주 북구 동림동 115-1,산동교(영산강) 친수공원 게이트볼장
스포츠,실외,축구장,광주 북구 동림동 115-2,산동교(영산강) 친수공원 축구장
스포츠,실내,수영장,광주 북구 우산동 574-8,우산수영장
스포츠,실외,배드민턴장,광주 북구 일곡동 850-1,일곡1근린공원 배드민턴장
스포츠,실외,농구장,광주 북구 일곡동 848-3,일곡제3근린공원 농구장
스포츠,실외,축구장,광주 북구 일곡동 850-1,일곡근린공원 인조잔디구장
스포츠,실외,농구장,광주 북구 연제동 1059,첨단2산업체육공원 농구장
스포츠,실외,배드민턴장,광주 북구 연제동 1059,첨단2산업체육공원 배드민턴장
스포츠,실외,풋살장,광주 북구 연제동 1059,첨단2산업체육공원 풋살장
스포츠,실외,배드민턴장,광주 북구 신용동 680,첨단2주거1호근린공원 배드민턴장
스포츠,실외,축구장,광주 북구 오룡동 1113,첨단체육공원 축구장
스포츠,실외,배드민턴장,광주 북구 첨단연신로107번길 26,첨단2주거3호근린공원 배드민턴장
스포츠,실외,배드민턴장,광주 북구 우산동 631-2,현대어린이공원 배드민턴장
스포츠,실외,축구장,북구 임방울대로 877,첨단체육시설 축구장
스포츠,실외,야구장,북구 임방울대로 877,첨단체육시설 야구장
스포츠,실외,야구장,북구 임방울대로 877,첨단체육시설 소프트볼장
스포츠,실외,게이트볼장,북구 임방울대로 877,첨단체육시설 게이트볼장
스포츠,실외,테니스장,광주 북구 중흥동 347-1,중흥정구장
스포츠,실내,체육관,광주 북구 북문대로 200,동림다목적체육관
스포츠,실내,게이트볼장,광주 서구 상무누리로 123,전천후게이트볼장
스포츠,실외,축구장,광주 서구 금화로 278,광주축구센터
스포츠,실외,테니스장,광주 서구 금화로 278,염주테니스장
스포츠,실내,테니스장,광주 서구 금화로 278,전천후 테니스장
스포츠,실내,체육관,광주 서구 금화로 278,올림픽기념국민생활관
스포츠,실내,체육관,광주 서구 금화로 278,염주 빛고을체육관
스포츠,실내,체육관,광주 서구 금화로 278,광주광역시체육회관
스포츠,실외,농구장,광주 서구 천변우하로 337,죽림근린공원 농구체육시설
스포츠,실내,체육관,광주 서구 금화로 278,서구국민체육센터 다목적체육관
스포츠,실내,수영장,광주 서구 금화로 278,염주실내수영장
스포츠,실외,배구장,광주 서구 풍암동 396-19,풍암생활체육공원 배구장
스포츠,실외,족구장,광주 서구 유촌동 30,유덕동 족구장
스포츠,실외,야구장,광주 서구 덕흥동 146,덕흥동 야구장
스포츠,실외,축구장,광주 서구 상무공원로 101,상무시민공원 종합운동장
스포츠,실외,축구장,광주 서구 마륵동 606,마륵동 축구장
스포츠,실외,축구장,광주 서구 덕흥동 146,덕흥동 축구장
스포츠,실내,체육관,광주 서구 풍암동 396-19,광주광역시 서구 국민체육센터
스포츠,실내,체육관,광주 서구 금화로 278,광주광역시장애인국민체육센터 체육관
스포츠,실내,체육관,광주 서구 농성동 311-11,상록도서관 체육교실
스포츠,실외,배드민턴장,광주광역시 서구 치평동 1162,상무시민공원 배드민턴장
스포츠,실내,탁구장,광주 서구 화정동 504-8,광주광역시 청소년수련원 탁구장
스포츠,실외,게이트볼장,광주 동구 계림동 100-1,금호 게이트볼장
스포츠,실외,게이트볼장,광주 서구 쌍촌동 96,상무 게이트볼장
스포츠,실외,게이트볼장,광주 서구 화정동 316-99,광화 게이트볼장
스포츠,실외,테니스장,광주 서구 죽봉대로78번길 10,농성 테니스장
스포츠,실외,농구장,광주 서구 상무공원로 101,상무시민공원 농구장
스포츠,실외,배구장,광주 서구 풍암동 396-19,풍암 배구장
스포츠,실외,족구장,광주 서구 광천동 747-2,광천 족구장
스포츠,실외,게이트볼장,광주 서구 풍암동 1121-4,풍암 게이트볼장
스포츠,실외,게이트볼장,광주 서구 금호동 789,마재 게이트볼장
스포츠,실외,게이트볼장,광주광역시 서구 화정로179번길 63,서창 게이트볼장
스포츠,실외,테니스장,광주 서구 상무공원로 101,상무시민공원 테니스장
스포츠,실외,테니스장,광주 서구 풍암동 1121-4,풍암 테니스장
스포츠,실외,농구장,광주 서구 풍암동 396-19,풍암생활체육공원 농구장
스포츠,실외,배구장,광주 서구 상무공원로 101,상무시민공원 배구장
스포츠,실외,테니스장,광주 서구 풍암동 396-19,풍암생활체육공원 정구장
스포츠,실외,족구장,광주 서구 풍암동 1121-4,풍암 족구장
스포츠,실외,족구장,광주 동구 남문로 418-15,동구다목적체육관 족구장
스포츠,실내,수영장,광주 동구 산수동 519-4,광주광역시 동구국민체육센터 수영장
스포츠,실외,운동장,광주 동구 용산동 151,광주광역시 용산생활체육공원
스포츠,실외,게이트볼장,광주 동구 산수동 401-8,광주광역시 동구 산수게이트볼장
스포츠,실외,게이트볼장,광주 동구 동명동 80-1,광주광역시 동구 동명게이트볼장
스포츠,실외,게이트볼장,광주 동구 계림동 100-1,광주광역시 동구 금호게이트볼장
스포츠,실외,게이트볼장,광주 동구 계림1동 685,광주광역시 동구 계림게이트볼장
스포츠,실내,체육관,광주 동구 소태동 166,광주광역시 동구다목적체육관
스포츠,실외,운동장,광주광역시 동구 화산로 318-26,광주광역시 동구용산생활체육시설
스포츠,실내,체육관,광주 동구 의재로43번길 27-3,광주광역시 동구청소년 수련관 체육관
스포츠,실내,체육관,광주 동구 소태동 524-5,광주광역시 동구문화센터
스포츠,실내,수영장,광주 동구 산수동 519-4,광주광역시 동구국민체육센터
스포츠,실내,테니스장,광주 남구 화산로 30,진월국제테니스장
스포츠,실외,농구장,광주 남구 승촌보길 90,승촌공원 농구장
스포츠,실외,축구장,광주 남구 승촌보길 90,승촌공원 축구장
스포츠,실외,게이트볼장,광주 남구 월산동 150,월산근린공원 게이트볼장
스포츠,실외,농구장,광주 남구 봉선동 134,유안근린공원 농구장
스포츠,실외,게이트볼장,광주 남구 봉선동 134,유안근린공원 게이트볼장
스포츠,실외,테니스장,광주 남구 봉선동 1016,봉선테니스장
스포츠,실내,체육관,광주 남구 진월동 44,남구다목적체육관
스포츠,실외,야구장,광주광역시 남구 효천로 140,효천물빛노닐터 멀티스타디움
스포츠,실외,축구장,광주광역시 남구 효천로 140,효천물빛노닐터 멀티스타디움
스포츠,실외,운동장,광주 광산구 옥동 124-25,광주도시철도공사 인재개발원 운동장
스포츠,실외,축구장,광주 광산구 하남동 499-3,하남공원 축구장
스포츠,실외,야구장,광주 광산구 산월동 57,첨단소프트볼장
스포츠,실외,풋살장,광주 광산구 하남동 451,고저 IC풋살장
스포츠,실외,야구장,광주 광산구 운남동 6,운남생활체육시설단지 야구장
스포츠,실외,테니스장,광주 광산구 월곡동 587,월곡테니스장
스포츠,실외,테니스장,광주 광산구 안청동 736-1,안청테니스장
스포츠,실외,테니스장,광주 광산구 소촌동 93-2,소촌테니스장
스포츠,실외,축구장,광주 광산구 용동 669-1,용동공원 축구장
스포츠,실외,축구장,광주광역시 광산구 황룡동,광주 송정1교 축구장
스포츠,실외,축구장,광주 광산구 쌍암동 653-1,쌍암축구장
스포츠,실외,축구장,광주 광산구 운남동 82-1,운남생활체육시설단지 축구장
스포츠,실내,탁구장,광주 광산구 장덕동 1295,광주광역시원당산청소년문화의집 탁구장
스포츠,실외,축구장,광주 광산구 산월동 35-1,첨단종합운동장 축구장
스포츠,실내,배드민턴장,광주 광산구 산월동 819-8,첨단 전천후 배드민턴장
스포츠,실내,게이트볼장,광주 광산구 쌍암동 695-3,첨단전천후 게이트볼장
