시설명,소재지도로명주소,면적,조성일자,이용시설현황,데이터기준일자
동구국민체육센터,광주광역시 동구 필문대로205번길 17,2651 ,2020-08-11,"수영장, 헬스장",2020-08-14
용산생활체육공원,광주광역시 남구 화산로 318-26,16336 ,2020-06-06,"잔디구장, 테니스장, 게이트볼장, 조깅로",2020-08-14
동구다목적체육관,광주광역시 동구 남문로 418-15,3994 ,2020-02-18,"체육관, 부대시설",2020-08-14
용산정구장,광주광역시 동구 화산로 318-12,4378 ,2020-09-07,정구장,2020-08-14
동구문화센터,광주광역시 동구 남문로 646,4513 ,2020-06-09,"수영장, 생활체육관, 헬스장",2020-08-14
광주고,광주광역시 동구 중앙로 302,1300 ,1993-09-01,체력단력기구,2020-08-14
내지마을,광주광역시 동구 내남동 684,50 ,1994-02-01,"간이운동,체력단련기구",2020-08-14
소태교하부,광주광역시 동구 소태동 372-1,1500 ,1994-11-01,"간이운동,체력단련기구",2020-08-14
율곡초등학교,광주광역시 동구 밤실로 142,1000 ,1994-12-01,체력단력기구,2020-08-14
학동삼익세라믹,광주광역시 동구 남문로 676,700 ,1995-09-01,"간이운동,체력단련기구",2020-08-14
대아아파트,광주광역시 동구 지원로 35,400 ,1995-12-01,체력단력기구,2020-08-14
장원초등학교,광주광역시 동구 무등로 533,700 ,1996-05-01,"간이운동,체력단련기구",2020-08-14
용산초등학교,광주광역시 동구 화산로 334,1250 ,1996-12-01,"간이운동,체력단련기구",2020-08-14
계림초등학교,광주광역시 동구 중앙로 320,302 ,2020-10-05,"간이운동,체력단련기구",2020-08-14
계림금호주상복합,광주광역시 동구 중앙로 358,750 ,2020-02-09,쳬력단련기구,2020-08-14
충장중학교,광주광역시 동구 경양로379번길19,70 ,2020-10-09,체력단력기구,2020-08-14
운림중학교,광주광역시 동구 의재로 137,65 ,2020-10-09,체력단력기구,2020-08-14
동산초등학교,광주광역시 동구 준법로 16,70 ,2020-10-09,체력단력기구,2020-08-14
운림동라인아파트(무량공원),광주광역시 동구 의재로 149-7,650 ,2020-03-10,체력단력기구,2020-08-14
푸른길(산수동),광주광역시 동구 동명로69번길20,729 ,2020-03-10,체력단력기구,2020-08-14
푸른길(계림동금호타운),광주광역시 동구 필문대로12-7,380 ,2020-06-10,체력단력기구,2020-08-14
지산동계부녀경로당앞쌈지공원,광주광역시 동구 지산로14길 35,60 ,2020-02-13,체력단력기구,2020-08-14
산수동광명아파트쌈지공원,광주광역시 동구 무등로 532,30 ,2020-05-13,체력단력기구,2020-08-14
학동백화역사공원,광주광역시 동구 천변우로 599,50 ,2020-08-13,체력단력기구,2020-08-14
계림동대인시장옆공터,광주광역시 동구 동계천로 49-10,90 ,2020-10-13,체력단력기구,2020-08-14
조선간호대학교,광주광역시 동구 필문대로 309-2,45 ,2020-10-13,체력단력기구,2020-08-14
계림동게이트볼장,광주광역시 동구 독립로384번길31,643 ,2020-12-12,게이트볼장,2020-08-14
동명동게이트볼장,광주광역시 동구 동명동 80-15,661 ,2020-06-12,게이트볼장,2020-08-14
금호게이트볼장,광주광역시 동구 필문대로12-7,440 ,2020-02-09,게이트볼장,2020-08-14
산수게이트볼장,광주광역시 동구 산수동 401-8,300 ,2020-12-01,게이트볼장,2020-08-14
지산교하부,광주광역시 동구 219-2,400 ,2020-02-01,체력단력기구,2020-08-14
조대여고,광주광역시 동구 지산로 36,20 ,2020-03-09,체력단력기구,2020-08-14
녹동경로당,광주광역시 동구 월남동296,20 ,2020-10-10,체력단력기구,2020-08-14
푸른길(구간편입지),광주광역시 동구 계림동730,470 ,2020-09-11,체력단력기구,2020-08-14
나무전거리 소공원,광주광역시 동구 산수동489-16,12 ,2020-08-12,체력단력기구,2020-08-14
용연마을,광주광역시 동구 용연동372,18 ,2020-08-11,체력단력기구,2020-08-14
선교마을 ,광주광역시 동구 선교동473-9,18 ,2020-12-12,체력단력기구,2020-08-14
남계마을,광주광역시 동구 내남동857-5,25 ,2020-12-12,체력단력기구,2020-08-14
풍향어린이 공원,광주광역시 동구 계림동 1730,18 ,2020-12-12,체력단력기구,2020-08-14
계림두산위브 어린이 공원,광주광역시 동구 계림동 53,30 ,2020-02-13,체력단력기구,2020-08-14
학동 평화맨션,광주광역시 동구 학동 768,40 ,2020-05-13,체력단력기구,2020-08-14
선교마을 교동경로당,광주광역시 동구 선교로 35,28 ,2020-08-13,체력단력기구,2020-08-14
서남동 조선대학교 정문 맞은편,광주광역시 동구 서석동 467-12,45 ,2020-08-13,체력단력기구,2020-08-14
지원동 주남마을 저수지 옆,광주광역시 동구 월남동 산85,20 ,2020-08-13,체력단력기구,2020-08-14
서남동 코밀빌딩 앞 남광주 천변,광주광역시 동구 금동226,100 ,2020-08-13,체력단력기구,2020-08-14
계림동(구)계림극장 뒤편 공터,광주광역시 동구 동명동212-2,70 ,2020-10-13,체력단력기구,2020-08-14
동산파크,광주광역시 동구 밤실로 42번김 7-6,50 ,2020-01-14,체력단력기구,2020-08-14
계림동 금호아파트,광주광역시 동구 필문대로 12-7 ,100 ,2020-01-14,체력단력기구,2020-08-14
운림동 라인2차,광주광역시 동구 의재로 149-7,60 ,2020-01-14,체력단력기구,2020-08-14
지원2동 대명아파트,광주광역시 동구 소태길 22-16,45 ,2020-01-14,체력단력기구,2020-08-14
산수1동 동진맨션,광주광역시 동구 무등로 417-9,50 ,2020-01-14,체력단력기구,2020-08-14
산수1동 나무전거리 뒤(시설녹지),광주광역시 동구 산수동 483-9,150 ,2020-01-14,체력단력기구,2020-08-14
산수2동 해광아파트,광주광역시 동구 필문대로 145번길 11-12,10 ,2020-01-14,체력단력기구,2020-08-14
학동 무등파크,광주광역시 동구 의재로 3,60 ,2020-03-14,체력단력기구,2020-08-14
운림동 무등파크 3차,광주광역시 동구 의재로 153,60 ,2020-03-14,체력단력기구,2020-08-14
학동 아남아파트,광주광역시 동구 의재로 23-8,100 ,2020-03-14,체력단력기구,2020-08-14
운림동 현대아파트,광주광역시 동구 증심천로 89번길 16,30 ,2020-05-14,체력단력기구,2020-08-14
운림동 무등파크 1차,광주광역시 동구 운림길 23,60 ,2020-06-14,체력단력기구,2020-08-14
지원1동 버들경로당,광주광역시 동구 천변좌로 630번길 3,75 ,2020-06-14,체력단력기구,2020-08-14
지산동 삼성아파트,광주광역시 동구 밤실로30번길11,50 ,2020-11-14,체력단력기구,2020-08-14
학동 금호베스트빌,광주광역시 동구 증심천로 88,50 ,2020-04-15,체력단력기구,2020-08-14
지원동 칠전마을,"광주광역시 동구 월남동 398,399번지",150 ,2020-04-15,체력단력기구,2020-08-14
지산동 동산아파트,광주광역시 동구 밤실로 40,25 ,2020-07-15,체력단력기구,2020-08-14
호남맨션 앞 공터,광주광역시 동구 산수동 104,25 ,2020-11-15,체력단력기구,2020-08-14
산수동 동산로얄 공터,광주광역시 동구 산수동 68,45 ,2020-11-15,체력단력기구,2020-08-14
계림1동 방범초소 옆 공터,광주광역시 동구 계림동 268-12,82 ,2020-11-15,체력단력기구,2020-08-14
주남마을 경로당,광주광역시 동구 주남길 11,25 ,2020-12-15,체력단력기구,2020-08-14
학운동 금호빌라트,광주광역시 동구 증심천로 99,50 ,2020-03-16,체력단력기구,2020-08-14
학운동 라인1차 아파트,광주광역시 동구 운림길 71,60 ,2020-03-16,체력단력기구,2020-08-14
용산동 일광맨션,광주광역시 동구 천변좌로 714-11,30 ,2020-03-16,체력단력기구,2020-08-14
학운동 수정맨션,광주광역시 동구 의재로 82번길 9,60 ,2020-03-16,체력단력기구,2020-08-14
용연마을 입구 공터,광주광역시 동구 용연동 278-1,120 ,2020-03-16,체력단력기구,2020-08-14
소태동 아이조움,광주광역시 동구 남문로 550,45 ,2020-03-16,체력단력기구,2020-08-14
동명동 커뮤니티&힐링가든,광주광역시 동구 동명동 287-27,114 ,2020-02-16,체력단력기구,2020-08-14
계림동 커뮤니티&힐링가든,광주광역시 동구 계림동 191-4,93 ,2020-02-16,체력단력기구,2020-08-14
계림1동 혜성교회 뒤 공터,광주광역시 동구 계림1동 485-25,110 ,2020-02-11,체력단력기구,2020-08-14
국민체육센터 놀이터 옆,광주광역시 동구 필문대로 205번길 17,25 ,2020-07-16,체력단력기구,2020-08-14
지산동 제일맨션,광주광역시 동구 밤실로 52,55 ,2020-08-16,체력단력기구,2020-08-14
조선대후문 옆 공터,광주광역시 동구 서남동 1005-25,25 ,2020-11-16,체력단력기구,2020-08-14
지산동 휴먼시아 아파트,광주광역시 동구 동명로69번길20,20 ,2020-11-16,체력단력기구,2020-08-14
지원동 대아아파트 2차,광주광역시 동구 소태동 440,25 ,2020-05-17,체력단력기구,2020-08-14
운림동 무등스위트 ,광주광역시 동구 운림길 68,20 ,2020-05-17,체력단력기구,2020-08-14
지원동 화산마을 경로당 앞 공터,광주광역시 동구 용산동 405,20 ,2020-07-17,체력단력기구,2020-08-14
산수동 무등파크맨션 옆 공터,광주광역시 동구 산수동 498-8,25 ,2020-07-17,체력단력기구,2020-08-14
서남동 서석경로당,광주광역시 동구 백서로 191-2,25 ,2020-07-17,체력단력기구,2020-08-14
지원동 신흥맨션,광주광역시 동구 학소로 80,20 ,2020-07-17,체력단력기구,2020-08-14
산수동 무등파크내 공터,광주광역시 동구 무등로 548,30 ,2020-08-17,체력단력기구,2020-08-14
계림동 두산위브 104동 뒤편,광주광역시 동구 무등로 374,82 ,2020-08-17,체력단력기구,2020-08-14
선동마을 입구 정자 옆 공터,광주광역시 동구 선교동 472-24,15 ,2020-12-17,체력단력기구,2020-08-14
동명동 작은공연장 주변,광주광역시 동구 동명동 92-9,20 ,2020-12-17,체력단력기구,2020-08-14
동명동 새마을금고 지하 1층,광주광역시 동구 필문대로 277,15 ,2020-02-18,체력단력기구,2020-08-14
서석교회,광주광역시 동구 백서로 232,10 ,2020-04-18,체력단력기구,2020-08-14
두암근린공원,광주광역시 동구 갈마로 68,20 ,2020-04-18,체력단력기구,2020-08-14
계림경로당 앞 공용주차장,광주광역시 동구 계림동 554-1,30 ,2020-04-18,체력단력기구,2020-08-14
산수2동 공용주차장,광주광역시 동구 산수동 511-35외 2필지 내,15 ,2020-05-15,체력단력기구,2020-08-14
장원봉 중재,광주광역시 동구 산수동 산 50-1,800 ,1992-09-01,체력단력기구,2020-08-14
꾀재,광주광역시 동구 산수동 산 59,1850 ,1992-09-01,체력단력기구,2020-08-14
