시설구분,시설명,지번주소,규격,바닥재,관리기관,데이터기준일
축구장,일곡 제1근린공원 인조잔디구장,광주광역시 북구 일곡동 850-1,5292,인조잔디,광주광역시 북구청,2020-12-20
축구장,문화근린공원 인조잔디구장,광주광역시 북구 문흥동 1009-1,8214,인조잔디,광주광역시 북구청,2020-12-20
축구장,북구 종합운동장,광주광역시 북구 연제동 730,7140,마사토,광주광역시 북구청,2020-12-20
배드민턴장,신정배드민턴장 제2순환도로 두암교,광주광역시 두암동 126-1일원,3면,인조잔디,광주광역시 북구청,2020-12-20
족구장,동림동 우석족구장(우석교차로 교각 하부),광주광역시 동림동 913-1,2580,마사토,광주광역시 북구청,2020-12-20
족구장,동림동 빛고을 족구장(동림동성당앞 빛고을로(북문교차로) 교각 하부),광주광역시 동림동 149-6,2025,마사토,광주광역시 북구청,2020-12-20
족구장,두암체육공원 족구장(두암3동 제2순환도로 하부),광주광역시 두암동 126-2,2면,마사토,광주광역시 북구청,2020-12-20
족구장,운암족구장(운암교 하부),광주광역시 운암동 228-1,1면,인조잔디,광주광역시 북구청,2020-12-20
족구장,각화1교하부 체육공간(각화1교 하부),광주광역시 각화동 46-1,1면,콘크리트,광주광역시 북구청,2020-12-20
족구장,북구종합운동장 족구장(종합운동장),광주광역시 연제동 777,2면,콘크리트,광주광역시 북구청,2020-12-20
론볼장,첨단 론볼장,광주광역시 북구 오룡동 1113,1600,인조잔디,광주광역시 북구청,2020-12-20
풋살장,각화1교하부 체육공간(각화1교 하부),광주광역시 각화동 46-1,684,인조잔디,광주광역시 북구청,2020-12-20
야구장,북구종합운동장,광주광역시 북구 연제동 730,121.92,마사토,광주광역시 북구청,2020-12-20
게이트볼장,각화 금호A 단지내,광주광역시 각화동 471,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,동림동 삼익고가하부,광주광역시 동림동 896-7,2면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,제2순환도로 두암교 밑,광주광역시 두암동 126-1,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,두암제1근린공원,광주광역시 두암동 969-4,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,문흥소공원,광주광역시 문흥동 1014,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,문화근린공원,광주광역시 문흥동 1009-1,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,용봉북어린이공원,광주광역시 용봉동 1335-1,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,용흥공원,광주광역시 용봉동 158-6,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,버들어린이공원,광주광역시 운암동 167,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,충효마을,광주광역시 충효동 486-4,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,지우어린이공원,광주광역시 운암동 478-1,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,일곡제2근린공원,광주광역시 일곡동 820-2,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,태령교 하부,광주광역시 태령동 210-25,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,각화1교 하부,광주광역시 각화동 46-1,1면,인조잔디,광주광역시 북구청,2020-12-20
게이트볼장,동림동 친수공원,광주광역시 동림동 130-7,1면,마사토,광주광역시 북구청,2020-12-20
