연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
1,동네체육시설,첨단생활체육공원 동네체육시설,광주광역시 광산구 산월동 819-8,동네체육시설,2020-12-24,2021-06-16
2,동네체육시설,신창동 생태휴양공원 동네체육시설,광주광역시 광산구 신창동 1262번지,동네체육시설,2020-12-24,2021-06-16
3,동네체육시설,어룡동 소촌마을 동네체육시설,광주광역시 광산구 소촌동 461-3,동네체육시설,2020-12-24,2021-06-16
4,동네체육시설,송정동 소규모쉼터 동네체육시설,광주광역시 광산구 송정동 242-7,동네체육시설,2020-02-03,2021-06-16
5,동네체육시설,운남동 남양아파트 동네체육시설,광주광역시 광산구 운남동 387-24,동네체육시설,2020-07-14,2021-06-16
6,동네체육시설,내산동 대봉경로당 동네체육시설,광주광역시 광산구 내산동 154-1,동네체육시설,2020-07-14,2021-06-16
7,동네체육시설,내산동 망월경로당 동네체육시설,광주광역시 광산구 내산동 308-13,동네체육시설,2020-07-14,2021-06-16
8,동네체육시설,양동 양동경로당 동네체육시설,광주광역시 광산구 양동 458-15,동네체육시설,2020-07-14,2021-06-16
9,동네체육시설,월계동 성원아파트 동네체육시설,광주광역시 광산구 월계동 755-4,동네체육시설,2020-07-14,2021-06-16
10,동네체육시설,월계동 라인7차 옆 동네체육시설,광주광역시 광산구 월계동 761-7(첨단생태공원 ),동네체육시설,2020-07-14,2021-06-16
11,동네체육시설,신촌대주아파트 동네체육시설,광주광역시 광산구 신촌동 826-1,동네체육시설,2020-12-24,2021-06-16
12,동네체육시설,대덕무지개아파트 동네체육시설,광주광역시 광산구  소촌동 69-3,동네체육시설,2020-12-24,2021-06-16
13,동네체육시설,스위트벨리 3차동네체육시설,광주광역시 광산구  소촌동 232-6,동네체육시설,2020-12-24,2021-06-16
14,동네체육시설,본촌경로당 동네체육시설,광주광역시 광산구 유계동 1002-3,동네체육시설,2020-12-24,2021-06-16
15,동네체육시설,임곡동성당 인근 동네체육시설,광주광역시 광산구 임곡동 819-1,동네체육시설,2020-12-24,2021-06-16
16,동네체육시설,본량용산마을 동네체육시설,광주광역시 광산구 산수동 590-1,동네체육시설,2020-12-24,2021-06-16
17,동네체육시설,삼도동촌마을 동네체육시설,광주광역시 광산구 삼도동 626-4,동네체육시설,2020-12-24,2021-06-16
18,동네체육시설,본량매동마을 동네체육시설,광주광역시 광산구 선동 507-1,동네체육시설,2020-12-24,2021-06-16
19,동네체육시설,우치마을경로당 동네체육시설,광주광역시 광산구 대산동 540,동네체육시설,2020-12-24,2021-06-16
20,동네체육시설,신창동가족공원 동네체육시설,광주광역시 광산구 신창동 1120,동네체육시설,2020-12-24,2021-06-16
21,종목별체육시설,평동대교 하부 족구장,광주광역시 광산구 선암동 212-8번지,족구장,2020-11-16,2021-06-16
22,종목별체육시설,발산교 하부 족구장,광주광역시 광산구 오선동 587,족구장,2020-05-20,2021-06-16
23,종목별체육시설,상전게이트볼장,광주광역시 광산구 송정1동 554-1,게이트볼장,2000-03-01,2021-06-16
24,종목별체육시설,송정공원 게이트볼장,광주광역시 광산구 소촌동 산 4-1,게이트볼장,1998-05-01,2021-06-16
25,종목별체육시설,산정공원  게이트볼장,광주광역시 광산구 월곡동 539,게이트볼장,1998-04-01,2021-06-16
26,종목별체육시설,쌍암공원  게이트볼장,광주광역시 광산구 쌍암동 653-1,게이트볼장,1999-01-01,2021-06-16
27,종목별체육시설,무양공원 게이트볼장,광주광역시 광산구 월계동 848-1,게이트볼장,1998-05-01,2021-06-16
28,종목별체육시설,장    록  게이트볼장,광주광역시 광산구 장록동 2-3,게이트볼장,1999-09-01,2021-06-16
29,종목별체육시설,본   량  게이트볼장,광주광역시 광산구 남산동 698-20,게이트볼장,1998-03-01,2021-06-16
30,종목별체육시설,임곡초교 게이트볼장,광주광역시 광산구 임곡동 457,게이트볼장,2000-12-01,2021-06-16
31,종목별체육시설,응암공원 게이트볼장,광주광역시 광산구 월계동 760-1,게이트볼장,2001-12-01,2021-06-16
32,종목별체육시설,신가공원 게이트볼장,광주광역시 광산구 신가동 870,게이트볼장,2003-03-03,2021-06-16
33,종목별체육시설,우산동IC 게이트볼장,광주광역시 광산구 우산동 1611-4,게이트볼장,2003-03-05,2021-06-16
34,종목별체육시설,용 진 교 게이트볼장,광주광역시 광산구 임곡동 591 (용진교 아래),게이트볼장,2004-04-11,2021-06-16
35,종목별체육시설,풍영정1공원게이트볼장,광주광역시 광산구 월곡동 686-1(운남주공10단지앞 풍영정 1공원),게이트볼장,2006-01-01,2021-06-16
36,종목별체육시설,첨단전천후 게이트볼장,광주광역시 광산구 쌍암동 695-3,게이트볼장,2005-09-01,2021-06-16
37,종목별체육시설,운남대교 게이트볼장,광주광역시 광산구 운남동 515-10,게이트볼장,2010-08-01,2021-06-16
38,종목별체육시설,송정IC 게이트볼장,광주광역시 광산구 신촌동 1013-4,게이트볼장,2012-11-01,2021-06-16
