연번,지역,운영장소,지도자,운영시간,프로그램
1,동구,조대깃대봉,강양주,월∼금 06:00∼07:00,기공체조
2,동구,광주고등학교,박경이,월∼금 06:00∼07:00,생활체조
3,동구,구와산공원,전소정,월∼금 06:30∼07:30,생활체조
4,동구,동구서석교회,정광아,월∼금 06:30∼07:30,에어로빅
5,동구,산수동근린공원,김복순,월∼금 19:30∼20:30,라인댄스
6,동구,지원중학교,김순애,월∼금 19:00∼20:00,건강체조
7,동구,동산초등학교,김현미,월∼금 20:00∼21:00,에어로빅
8,동구,장원초등학교,한미자,월∼금 06:00∼07:00,생활체조
9,서구,풍암저수지공원,류용성,월∼금 06:00∼07:00,국학기공
10,서구,중앙공원,김성학,월∼금 06:00∼07:00,건강체조
11,서구,빛고을초등학교,유태영,월∼금 06:30∼07:30,국학기공
12,서구,5.18공원,고연복,월∼금 06:00∼07:00,에어로빅
13,남구,사직공원,남현정,월∼금 06:00∼07:00,건강체조
14,남구,학강초등학교,이종숙,월∼금 06:00∼07:00,생활체조
15,북구,예술고등학교,이경진,월∼금 06:00∼07:00,에어로빅
16,북구,양산호수공원,임정수,월∼금 06:00∼07:00,생활체조
17,북구,전남대운동장,이무수,월∼금 05:30∼06:30,국학기공
18,북구,문화근린공원,임난희,월∼금 06:00∼07:00,생활체조
19,북구,어린이대공원,송미자,월∼금 06:00∼07:00,에어로빅
20,광산구,대상생활체육공원,이선미,월∼금 19:30∼20:30,생활체조
21,광산구,산정공원,정지혜,월∼금 06:00∼07:00,에어로빅
22,광산구,대상공원,나효빈,월∼금 06:00∼07:00,에어로빅
23,광산구,응암공원,안미정,월∼금 06:00∼07:00,건강체조
24,광산구,경암근린공원,이수지,월∼금 06:00∼07:00,에어로빅
25,광산구,풍영정공원,백경선,월∼금 18:30∼19:30,생활체조
26,광산구,쌍암공원,박영미,월∼금 06:00∼07:00,생활체조
27,광산구,운남중앙공원,목영옥,월∼금 19:00∼20:00,생활체조
28,광산구,원당산공원,김영숙,월∼금 06:00∼07:00,생활체조
29,광산구,운남근린공원,허양옥,월∼금 06:00∼07:00,생활체조
30,광산구,첨단초등학교,김유리,월∼금 06:00∼07:00,에어로빅
,,,,,
