명칭,조성연도,면적(제곱미터),체력단련시설,위치,연락처,관리기관명,데이터기준일
짚봉산 산책로 체육시설,1995,1000,"철봉2점, 평행봉3점, 윗몸일으키기3점,등마사지2점, 몸통돌리기4점",광주광역시 서구 화정동 짚봉산내 ,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),1996,,"몸통돌리기, 윗몸일으키기",광주광역시 서구 덕흥동 23-2,062-360-7193,광주광역시 서구,2021-09-13
중앙공원 산책로 체육시설,1996,1000,"철봉4점, 평행봉4점, 윗몸일으키기5점, 몸통돌리기5점, 등마사지기1점",광주광역시 서구 금호동 중앙공원 내,062-360-7987,광주광역시 서구,2021-09-13
동네체육시설,1997,1000,"철봉5점, 평행봉5점, 윗몸일으키기4점, 온몸펴기2점, 팔굽혀펴기3점, 몸통들어올리기2점, 다리올려무릎펴기2점",광주광역시 서구 화정동 중앙공원 산책로 체육시설 ,062-360-7987,광주광역시 서구,2021-09-13
제봉산 산책로 체육시설,1997,1000,"철봉3점, 평행봉2점, 윗몸일으키기4점, 몸통돌리기2점",광주광역시 서구 경열로121번길 5(양동초교 뒷편),062-360-7987,광주광역시 서구,2021-09-13
백석산 산책로 체육시설,2000,,"철봉2점, 평행봉1점, 몸통돌리기5점, 윗몸일으키기4점, 등마사지기1점",광주광역시 서구 상무2동 백선산내 ,062-360-7989,광주광역시 서구,2021-09-13
상무인공암벽장,2001,300,"인공암벽 패널 3면, 소형 암벽패널 1",광주광역시 서구 상무누리로 148,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2001,,"거꾸리머신, 싣업머신, 스윙워커머신",광주광역시 서구 화정동 131-4,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2002,,"허리마사지, 몸돌리기, 런닝트레이닝, 윗몸일으키기",광주광역시 서구 쌍촌동 1212,062-360-7193,광주광역시 서구,2021-09-13
동네체육시설(야외운동기구),2004,,"공중걷기, 허리돌리기",광주광역시 서구 농성동 470,062-360-7193,광주광역시 서구,2021-09-13
